name,symbol,decimals,address,price_usd,updated_at,volume_usd_24h,volume_usd,market_cap_usd,created_at
SPX6900,SPX,8,0x50da645f148798f68ef2d7db7c1cb22a6819bb2c,1.544734734,2025-10-08 21:32:31,"37,051,128","1,044,550","883,686,141",2025-03-29 18:05:21
Virtual Protocol,VIRTUAL,18,0x0b3e328455c4059eeb9e3f84b5543f74e24e7e1b,1.125996932,2025-10-08 21:32:31,"395,584,870","24,732,591","656,787,088",2025-03-02 15:05:21
Wormhole Token,W,18,0xb0ffa8000886e57f86dd5264b9582b2ad87b2b91,0.1186304938,2025-10-08 21:00:21,"88,631,011","125,146","476,772,705",2025-05-17 21:05:21
Maple Finance,SYRUP,18,0x688aee022aa544f150678b8e5720b6b96a9e9a2f,0.4087786509,2025-10-08 21:00:22,,"76,815","415,067,899",2025-06-30 18:08:34
Brett,BRETT,18,0x532f27101965dd16442e59d40670faf5ebb142e4,0.04522795577,2025-10-08 21:00:22,"56,183,254","1,377,425","380,471,382",2025-05-06 0:05:21
Kaito,KAITO,18,0x98d0baa52b2d063e780de12f615f963fe8537553,1.348866086,2025-10-08 21:32:31,"660,598,337","510,414","364,369,453",2025-04-27 3:05:21
Toshi,TOSHI,18,0xac1bd2486aaf3b5c0fc3fd868558b082a531b2b4,0.0009468250825,2025-10-08 21:00:22,"86,868,991","4,120,310","301,468,364",2025-05-17 12:05:21
Mog Coin,MOG,18,0x2da56acb9ea78330f947bd57c54119debda7af71,7.80E-07,2025-10-08 21:00:22,,"91,282","244,864,015",2025-07-12 12:08:34
Rekt,REKT,18,0xb3e3c89b8d9c88b1fe96856e382959ee6291ebba,6.31E-07,2025-10-08 21:00:23,,"109,140","241,169,303",2025-07-13 6:08:34
Keeta,KTA,18,0xc0634090f2fe6c6d75e61be2b949464abb498973,0.5252834406,2025-10-08 21:00:22,"12,202,905","4,744,242","235,290,377",2025-04-14 0:05:21
Avantis,avnt,18,0x696f9436b67233384889472cd7cd58a6fb5df4f1,0.916861,2025-10-08 12:00:18,,"692,967,073","232,202,758",2025-09-17 9:08:04
Ribbita by Virtuals,TIBBIR,18,0xa4a2e2ca3fbfe21aed83471d28b6f65a233c6e00,0.2801399933,2025-10-08 21:00:22,"2,083,940","1,861,053","231,990,707",2025-05-16 21:05:21
Syndicate,synd,18,0x11dc28d01984079b7efe7763b533e6ed9e3722b9,1.21,2025-10-08 12:00:18,,"19,320,335","200,009,647",2025-09-20 19:13:15
Zora,ZORA,18,0x1111111111166b7fe7bd91427724b487980afc69,0.05598827592,2025-10-08 21:00:22,"28,581,437","13,481,365","196,618,190",2025-03-28 15:05:21
MAG7.ssi,MAG7.ssi,8,0x9e6a46f294bb67c20f1d1e7afb0bbef614403b55,1.094542486,2025-10-08 21:00:21,"1,747,688","821,633","162,869,147",2025-05-18 9:05:21
Horizen,ZEN,18,0xf43eb8de897fbc7f2502483b2bef7bb9ea179229,11.12539996,2025-10-08 21:00:22,,"15,277,859","109,423,510",2025-07-28 13:25:56
Subsquid,SQD,18,0xd4554bea546efa83c1e6b389ecac40ea999b3e78,0.1782279907,2025-10-08 21:00:22,"7,322,783","297,060","106,625,641",2025-05-17 15:05:21
Degen,DEGEN,18,0x4ed4e862860bed51a9570b96d89af5e1b0efefed,0.00290942999,2025-10-08 21:00:22,"347,580,471","382,166","104,118,132",2025-05-18 9:05:21
B3,B3,18,0xb3b32f9f8827d4634fe7d973fa1034ec9fddb3b3,0.002697271125,2025-10-08 21:00:23,"17,488,472","95,886","89,913,257",2025-05-19 3:05:21
OMI Token,OMI,18,0x3792dbdd07e87413247df995e692806aa13d3299,0.0003061373191,2025-10-08 21:00:22,"1,487,435","203,611","89,685,813",2025-05-17 12:05:21
aixbt by Virtuals,AIXBT,18,0x4f9fd6be4a90f2620860d680c0d4d5fb53d1a825,0.09655609607,2025-10-08 21:00:22,"97,285,306","454,944","89,061,944",2025-05-04 9:05:21
Yield Guild Games Token,YGG,18,0xaac78d1219c08aecc8e37e03858fe885f5ef1799,0.1695784851,2025-10-08 21:00:23,"27,234,548","32,596","88,192,198",2025-05-18 3:05:21
Prime,PRIME,18,0xfa980ced6895ac314e7de34ef1bfae90a5add21b,1.36320006,2025-10-08 21:00:23,"12,364,066","37,137","87,061,819",2025-05-18 18:05:21
Home,HOME,18,0x4bfaa776991e85e5f8b1255461cbbd216cfc714f,0.03052455295,2025-10-08 21:00:22,,"42,445","81,934,002",2025-06-10 5:49:24
FAI,FAI,18,0xb33ff54b9f7242ef1593d2c9bcd8f9df46c77935,0.01017655675,2025-10-08 21:00:22,"1,921,294","85,299","80,660,098",2025-05-19 6:05:21
CARV,CARV,18,0xc08cd26474722ce93f4d0c34d16201461c10aa8c,0.2627633405,2025-10-08 21:00:21,"14,531,006","2,113,268","79,241,890",2025-05-18 3:05:21
Venice Token,VVV,18,0xacfe6019ed1a7dc6f7b508c02d1b04ec88cc21bf,2.412481297,2025-10-08 21:00:23,"15,111,520","7,146,528","72,444,140",2025-05-16 18:05:21
Auki Token,AUKI,18,0xf9569cfb8fd265e91aa478d86ae8c78b8af55df4,0.02130180726,2025-10-08 21:00:21,"277,615","416,971","65,117,908",2025-05-19 0:05:21
FLOCK,flock,18,0x5ab3d4c385b400f3abb49e80de2faf6a88a7b691,0.2791369114,2025-10-08 21:00:21,,"563,360","63,058,161",2025-07-13 15:08:34
ResearchCoin,RSC,18,0xfbb75a59193a3525a8825bebe7d4b56899e2f7e1,0.4570264779,2025-10-08 21:00:23,"644,782","96,938","55,097,755",2025-05-19 3:05:21
BankrCoin,BNKR,18,0x22af33fe49fd1fa80c7149773dde5890d3c76f3b,0.000580047094,2025-10-08 21:00:22,,"817,277","43,648,656",2025-05-11 6:54:20
PAAL AI,$PAAL,18,0xd52333441c0553facb259600fa833a69186893a5,0.06080485476,2025-10-08 21:00:21,"16,851,711","33,594","41,702,739",2025-05-18 3:05:21
Unit 00 - Rei,REI,18,0x6b2504a03ca4d43d0d73776f6ad46dab2f2a4cfd,0.0458244418,2025-10-08 21:00:23,"1,531,014","1,364,234","40,986,845",2025-05-17 12:05:21
Towns,towns,18,0x00000000a22c618fd6b4d7e9a335c4b96b189a38,0.02379903,2025-10-08 12:00:19,,"40,685,398","38,390,138",2025-08-14 14:47:50
Sapien,sapien,18,0xc729777d0470f30612b1564fd96e8dd26f5814e3,0.215943,2025-10-08 12:00:20,,"45,858,346","37,699,436",2025-08-22 13:27:19
SKI MASK DOG,SKI,9,0x768be13e1680b5ebe0024c42c896e3db59ec0149,0.03551065704,2025-10-08 21:00:22,"3,131,086","291,614","33,130,584",2025-05-18 6:05:21
Tree,TREE,18,0x52c2b317eb0bb61e650683d2f287f56c413e4cf6,0.2932314199,2025-10-08 21:00:23,"166,843","4,618","32,454,657",2025-05-19 0:05:21
ArAIstotle,facy,18,0xfac77f01957ed1b3dd1cbea992199b8f85b6e886,0.01027449,2025-10-08 12:00:20,,"547,935","31,649,156",2025-08-14 14:47:50
tokenbot,CLANKER,18,0x1bc0c42215582d5a085795f4badbac3ff36d1bcb,30.68225908,2025-10-08 21:00:23,"14,287,220","657,110","29,485,529",2025-05-18 9:05:21
doginme,doginme,18,0x6921b130d297cc43754afba22e5eac0fbf8db75b,0.0003798104583,2025-10-08 21:00:23,"31,087,623","410,085","25,580,797",2025-05-18 6:05:21
BOBO Coin,bobo,18,0x570b1533f6daa82814b25b62b5c7c4c55eb83947,3.25E-07,2025-10-08 21:00:22,,"4,434","23,881,330",2025-07-13 21:08:34
Giza,GIZA,18,0x590830dfdf9a3f68afcdde2694773debdf267774,0.143462724,2025-10-08 21:00:23,,"455,062","23,111,509",2025-06-01 2:27:28
noice,noice,18,0x9cb41fd9dc6891bae8187029461bfaadf6cc0c69,0.0004055402756,2025-10-08 21:00:23,,"4,294,602","20,806,377",2025-06-02 14:27:28
HeyAnon,Anon,18,0x79bbf4508b1391af3a0f4b30bb5fc4aa9ab0e07c,1.5487051,2025-10-08 21:00:21,"22,012,485","153,844","20,373,430",2025-05-17 15:05:21
CreatorBid,BID,18,0xa1832f7f4e534ae557f9b5ab76de54b1873e498b,0.06905932124,2025-10-08 21:00:21,"10,010,549","199,598","19,776,609",2025-05-17 21:05:21
Mamo,MAMO,18,0x7300b37dfdfab110d83290a29dfb31b1740219fe,0.07124271028,2025-10-08 21:00:23,,"759,075","19,173,758",2025-06-01 17:27:28
GraphAI,GAI,18,0x3489256febdb1dc930dc3743617ad387cd6d3568,0.2038294727,2025-10-08 21:00:23,,"270,533","15,842,458",2025-07-28 10:25:56
BSX,BSX,18,0xd47f3e45b23b7594f5d5e1ccfde63237c60be49e,0.02165756691,2025-10-08 21:00:21,"119,480","410,316","15,355,123",2025-05-18 6:05:21
Flayer,FLAY,18,0xf1a7000000950c7ad8aff13118bb7ab561a448ee,0.03340123352,2025-10-08 21:00:21,"1,815,145","1,289,850","13,882,749",2025-05-18 21:05:21
Seamless,SEAM,18,0x1c7a460413dd4e964f96d8dfc56e7223ce88cd85,0.3489951035,2025-10-08 21:00:21,"354,759","88,021","13,678,627",2025-05-19 9:05:21
BRACKY,bracky,18,0x06f71fb90f84b35302d132322a3c90e4477333b0,0.0001433,2025-10-08 12:00:18,,"54,978","12,294,804",2025-08-14 14:47:50
Hydrex,hydx,18,0x00000e7efa313f4e11bfff432471ed9423ac6b30,0.344793,2025-10-08 12:00:18,,"8,765,980","10,816,674",2025-09-17 9:08:04
GAME by Virtuals,GAME,18,0x1c4cca7c5db003824208adda61bd749e55f463a3,0.01552585147,2025-10-08 21:00:22,"10,288,888","181,560","10,616,926",2025-05-17 15:05:21
Based Pepe,pepe,18,0x52b492a33e447cdb854c7fc19f1e57e8bfa1777d,2.20E-08,2025-10-08 21:00:22,,"12,652","9,514,162",2025-07-13 0:08:34
Based Fartcoin,Fartcoin,18,0x2f6c17fa9f9bc3600346ab4e48c0701e1d5962ae,0.0001357741746,2025-10-08 21:00:21,"601,445","64,460","9,502,567",2025-05-19 0:05:21
VaderAI by Virtuals,VADER,18,0x731814e491571a2e9ee3c5b1f7f3b962ee8f4870,0.01295570712,2025-10-08 21:00:21,"2,517,661","76,003","8,019,737",2025-05-16 15:05:21
Mochi,mochi,18,0xf6e932ca12afa26665dc4dde7e27be02a7c02e50,7.50E-06,2025-10-08 21:00:22,,"41,238","6,495,636",2025-07-13 15:08:34
Base God,tybg,18,0x0d97f261b1e88845184f678e2d1e7a98d9fd38de,5.34E-05,2025-10-08 21:00:22,,"31,026","5,999,532",2025-07-13 6:08:34
DebtReliefBot,drb,18,0x3ec2156d4c0a9cbdab4a016633b7bcf6a8d68ea2,9.75E-05,2025-10-08 21:00:23,,"212,675","5,399,690",2025-07-12 21:08:34
